YEAR,MONTH,MONTH INDEX,RAINFALL,FLOOD
1965,Jan ,1,0,0
1965,Feb,2,11,0
1965,Mar,3,0,0
1965,Apr,4,24,0
1965,May,5,0,0
1965,June,6,25,0
1965,July,7,43,0
1965,August,8,186,0
1965,Sep,9,95,0
1965,Oct,10,59,0
1965,Nov ,11,422,0
1965,Dec,12,285,0
1966,Jan ,1,1,0
1966,Feb,2,0,0
1966,Mar,3,0,0
1966,Apr,4,76,0
1966,May,5,5,0
1966,June,6,90,0
1966,July,7,153,0
1966,August,8,239,0
1966,Sep,9,203,0
1966,Oct,10,310,0
1966,Nov ,11,492,0
1966,Dec,12,150,0
1967,Jan ,1,30,0
1967,Feb,2,0,0
1967,Mar,3,97,0
1967,Apr,4,0,0
1967,May,5,52,0
1967,June,6,97,0
1967,July,7,106,0
1967,August,8,223,0
1967,Sep,9,79,0
1967,Oct,10,137,0
1967,Nov ,11,122,0
1967,Dec,12,372,0
1968,Jan ,1,0,0
1968,Feb,2,0,0
1968,Mar,3,0,0
1968,Apr,4,68,0
1968,May,5,0,0
1968,June,6,80,0
1968,July,7,22,0
1968,August,8,14,0
1968,Sep,9,151,0
1968,Oct,10,131,0
1968,Nov ,11,140,0
1968,Dec,12,185,0
1969,Jan ,1,0,0
1969,Feb,2,0,0
1969,Mar,3,0,0
1969,Apr,4,0,0
1969,May,5,15,0
1969,June,6,49,0
1969,July,7,117,0
1969,August,8,119,0
1969,Sep,9,10,0
1969,Oct,10,656,0
1969,Nov ,11,420,0
1969,Dec,12,177,0
1970,Jan ,1,0,0
1970,Feb,2,19,0
1970,Mar,3,0,0
1970,Apr,4,5,0
1970,May,5,66,0
1970,June,6,86,0
1970,July,7,495,0
1970,August,8,145,0
1970,Sep,9,168,0
1970,Oct,10,171,0
1970,Nov ,11,443,0
1970,Dec,12,7,0
1971,Jan ,1,14,0
1971,Feb,2,0,0
1971,Mar,3,49,0
1971,Apr,4,26,0
1971,May,5,45,0
1971,June,6,31,0
1971,July,7,156,0
1971,August,8,44,0
1971,Sep,9,101,0
1971,Oct,10,497,0
1971,Nov ,11,266,0
1971,Dec,12,110,0
1972,Jan ,1,34,0
1972,Feb,2,0,0
1972,Mar,3,0,0
1972,Apr,4,0,0
1972,May,5,65,0
1972,June,6,127,0
1972,July,7,51,0
1972,August,8,58,0
1972,Sep,9,111,0
1972,Oct,10,506,0
1972,Nov ,11,156,0
1972,Dec,12,377,0
1973,Jan ,1,0,0
1973,Feb,2,0,0
1973,Mar,3,0,0
1973,Apr,4,0,0
1973,May,5,9,0
1973,June,6,29,0
1973,July,7,73,0
1973,August,8,194,0
1973,Sep,9,155,0
1973,Oct,10,261,0
1973,Nov ,11,66,0
1973,Dec,12,243,0
1974,Jan ,1,8,0
1974,Feb,2,0,0
1974,Mar,3,0,0
1974,Apr,4,0,0
1974,May,5,26,0
1974,June,6,119,0
1974,July,7,112,0
1974,August,8,138,0
1974,Sep,9,253,0
1974,Oct,10,109,0
1974,Nov ,11,217,0
1974,Dec,12,1,0
1975,Jan ,1,0,0
1975,Feb,2,0,0
1975,Mar,3,0,0
1975,Apr,4,0,0
1975,May,5,7,0
1975,June,6,48,0
1975,July,7,158,0
1975,August,8,295,0
1975,Sep,9,231,0
1975,Oct,10,300,0
1975,Nov ,11,468,0
1975,Dec,12,1,0
1976,Jan ,1,0,0
1976,Feb,2,0,0
1976,Mar,3,0,0
1976,Apr,4,2,0
1976,May,5,5,0
1976,June,6,109,0
1976,July,7,177,0
1976,August,8,197,0
1976,Sep,9,9,0
1976,Oct,10,263,0
1976,Nov ,11,679,0
1976,Dec,12,7,0
1977,Jan ,1,0,0
1977,Feb,2,0,0
1977,Mar,3,0,0
1977,Apr,4,4,0
1977,May,5,16,0
1977,June,6,75,0
1977,July,7,27,0
1977,August,8,135,0
1977,Sep,9,94,0
1977,Oct,10,476,0
1977,Nov ,11,405,0
1977,Dec,12,7,0
1978,Jan ,1,0,0
1978,Feb,2,9,0
1978,Mar,3,0,0
1978,Apr,4,17,0
1978,May,5,1,0
1978,June,6,38,0
1978,July,7,145,0
1978,August,8,95,0
1978,Sep,9,213,0
1978,Oct,10,98,0
1978,Nov ,11,268,0
1978,Dec,12,504,0
1979,Jan ,1,0,0
1979,Feb,2,0,0
1979,Mar,3,0,0
1979,Apr,4,0,0
1979,May,5,91,0
1979,June,6,30,0
1979,July,7,71,0
1979,August,8,59,0
1979,Sep,9,133,0
1979,Oct,10,124,0
1979,Nov ,11,554,0
1979,Dec,12,78,0
1980,Jan ,1,0,0
1980,Feb,2,0,0
1980,Mar,3,0,0
1980,Apr,4,0,0
1980,May,5,0,0
1980,June,6,12,0
1980,July,7,141,0
1980,August,8,181,0
1980,Sep,9,18,0
1980,Oct,10,57,0
1980,Nov ,11,540,0
1980,Dec,12,172,0
1981,Jan ,1,16,0
1981,Feb,2,0,0
1981,Mar,3,17,0
1981,Apr,4,0,0
1981,May,5,43,0
1981,June,6,38,0
1981,July,7,149,0
1981,August,8,120,0
1981,Sep,9,135,0
1981,Oct,10,292,0
1981,Nov ,11,108,0
1981,Dec,12,89,0
1982,Jan ,1,2,0
1982,Feb,2,0,0
1982,Mar,3,0,0
1982,Apr,4,10,0
1982,May,5,23,0
1982,June,6,81,0
1982,July,7,73,0
1982,August,8,172,0
1982,Sep,9,79,0
1982,Oct,10,172,0
1982,Nov ,11,238,0
1982,Dec,12,9,0
1983,Jan ,1,0,0
1983,Feb,2,0,0
1983,Mar,3,0,0
1983,Apr,4,0,0
1983,May,5,0,0
1983,June,6,18,0
1983,July,7,109,0
1983,August,8,362,0
1983,Sep,9,329,0
1983,Oct,10,227,0
1983,Nov ,11,51,0
1983,Dec,12,308,0
1984,Jan ,1,18,0
1984,Feb,2,274,0
1984,Mar,3,0,0
1984,Apr,4,2,0
1984,May,5,0,0
1984,June,6,34,0
1984,July,7,148,0
1984,August,8,33,0
1984,Sep,9,232,0
1984,Oct,10,103,0
1984,Nov ,11,456,0
1984,Dec,12,117,0
1985,Jan ,1,51,0
1985,Feb,2,0,0
1985,Mar,3,0,0
1985,Apr,4,3,0
1985,May,5,0,0
1985,June,6,59,0
1985,July,7,161,0
1985,August,8,62,0
1985,Sep,9,149,0
1985,Oct,10,115,0
1985,Nov ,11,465,0
1985,Dec,12,44,0
1986,Jan ,1,203,0
1986,Feb,2,61,0
1986,Mar,3,0,0
1986,Apr,4,0,0
1986,May,5,25,0
1986,June,6,42,0
1986,July,7,51,0
1986,August,8,47,0
1986,Sep,9,48,0
1986,Oct,10,238,0
1986,Nov ,11,128,0
1986,Dec,12,61,0
1987,Jan ,1,4,0
1987,Feb,2,0,0
1987,Mar,3,20,0
1987,Apr,4,14,0
1987,May,5,0,0
1987,June,6,33,0
1987,July,7,33,0
1987,August,8,106,0
1987,Sep,9,70,0
1987,Oct,10,178,0
1987,Nov ,11,197,0
1987,Dec,12,230,0
1988,Jan ,1,0,0
1988,Feb,2,1,0
1988,Mar,3,0,0
1988,Apr,4,17,0
1988,May,5,18,0
1988,June,6,10,0
1988,July,7,103,0
1988,August,8,209,0
1988,Sep,9,126,0
1988,Oct,10,70,0
1988,Nov ,11,356,0
1988,Dec,12,153,0
1989,Jan ,1,11,0
1989,Feb,2,0,0
1989,Mar,3,0,0
1989,Apr,4,0,0
1989,May,5,9,0
1989,June,6,55,0
1989,July,7,134,0
1989,August,8,22,0
1989,Sep,9,115,0
1989,Oct,10,79,0
1989,Nov ,11,343,0
1989,Dec,12,124,0
1990,Jan ,1,9,0
1990,Feb,2,6,0
1990,Mar,3,7,0
1990,Apr,4,7,0
1990,May,5,307,0
1990,June,6,54,0
1990,July,7,74,0
1990,August,8,65,0
1990,Sep,9,171,0
1990,Oct,10,377,0
1990,Nov ,11,307,0
1990,Dec,12,50,0
1991,Jan ,1,8,0
1991,Feb,2,0,0
1991,Mar,3,0,0
1991,Apr,4,5,0
1991,May,5,0,0
1991,June,6,234,0
1991,July,7,75,0
1991,August,8,107,0
1991,Sep,9,118,0
1991,Oct,10,284,1
1991,Nov ,11,594,1
1991,Dec,12,1,0
1992,Jan ,1,6,0
1992,Feb,2,0,0
1992,Mar,3,0,0
1992,Apr,4,29,0
1992,May,5,58,0
1992,June,6,0,0
1992,July,7,46,0
1992,August,8,86,0
1992,Sep,9,103,0
1992,Oct,10,96,0
1992,Nov ,11,305,0
1992,Dec,12,119,0
1993,Jan ,1,0,0
1993,Feb,2,0,0
1993,Mar,3,2,0
1993,Apr,4,0,0
1993,May,5,53,0
1993,June,6,50,0
1993,July,7,84,0
1993,August,8,215,0
1993,Sep,9,116,0
1993,Oct,10,277,0
1993,Nov ,11,342,0
1993,Dec,12,206,0
1994,Jan ,1,2,0
1994,Feb,2,15,0
1994,Mar,3,0,0
1994,Apr,4,0,0
1994,May,5,28,0
1994,June,6,17,0
1994,July,7,93,0
1994,August,8,106,0
1994,Sep,9,58,0
1994,Oct,10,335,0
1994,Nov ,11,406,0
1994,Dec,12,222,0
1995,Jan ,1,84,0
1995,Feb,2,0,0
1995,Mar,3,13,0
1995,Apr,4,0,0
1995,May,5,250,0
1995,June,6,9,0
1995,July,7,107,0
1995,August,8,234,0
1995,Sep,9,200,0
1995,Oct,10,347,0
1995,Nov ,11,321,0
1995,Dec,12,1,0
1996,Jan ,1,0,0
1996,Feb,2,0,0
1996,Mar,3,0,0
1996,Apr,4,59,0
1996,May,5,8,0
1996,June,6,635,0
1996,July,7,34,0
1996,August,8,113,0
1996,Sep,9,189,0
1996,Oct,10,394,0
1996,Nov ,11,309,0
1996,Dec,12,382,0
1997,Jan ,1,25,0
1997,Feb,2,0,0
1997,Mar,3,0,0
1997,Apr,4,10,0
1997,May,5,22,0
1997,June,6,106,0
1997,July,7,57,0
1997,August,8,71,0
1997,Sep,9,300,0
1997,Oct,10,250,0
1997,Nov ,11,948,0
1997,Dec,12,380,0
1998,Jan ,1,0,0
1998,Feb,2,0,0
1998,Mar,3,0,0
1998,Apr,4,31,0
1998,May,5,5,0
1998,June,6,57,0
1998,July,7,134,0
1998,August,8,147,0
1998,Sep,9,108,0
1998,Oct,10,227,0
1998,Nov ,11,401,0
1998,Dec,12,224,0
1999,Jan ,1,2,0
1999,Feb,2,0,0
1999,Mar,3,0,0
1999,Apr,4,11,0
1999,May,5,7,0
1999,June,6,9,0
1999,July,7,11,0
1999,August,8,45,0
1999,Sep,9,39,0
1999,Oct,10,232,0
1999,Nov ,11,216,0
1999,Dec,12,52,0
2000,Jan ,1,0,0
2000,Feb,2,244,0
2000,Mar,3,0,0
2000,Apr,4,4,0
2000,May,5,40,0
2000,June,6,76,0
2000,July,7,72,0
2000,August,8,162,0
2000,Sep,9,57,0
2000,Oct,10,218,0
2000,Nov ,11,96,0
2000,Dec,12,92,0
2001,Jan ,1,0,0
2001,Feb,2,0,0
2001,Mar,3,3,0
2001,Apr,4,155,0
2001,May,5,18,0
2001,June,6,49,0
2001,July,7,82,0
2001,August,8,80,0
2001,Sep,9,135,0
2001,Oct,10,372,0
2001,Nov ,11,242,0
2001,Dec,12,264,0
2002,Jan ,1,56,0
2002,Feb,2,0,0
2002,Mar,3,0,0
2002,Apr,4,0,0
2002,May,5,61,0
2002,June,6,42,0
2002,July,7,95,0
2002,August,8,110,0
2002,Sep,9,159,0
2002,Oct,10,279,0
2002,Nov ,11,307,0
2002,Dec,12,20,0
2003,Jan ,1,0,0
2003,Feb,2,0,0
2003,Mar,3,5,0
2003,Apr,4,5,0
2003,May,5,6,0
2003,June,6,26,0
2003,July,7,141,0
2003,August,8,139,0
2003,Sep,9,103,0
2003,Oct,10,231,0
2003,Nov ,11,98,0
2003,Dec,12,56,0
2004,Jan ,1,30,0
2004,Feb,2,0,0
2004,Mar,3,0,0
2004,Apr,4,7,0
2004,May,5,229,0
2004,June,6,50,0
2004,July,7,51,0
2004,August,8,37,0
2004,Sep,9,191,0
2004,Oct,10,275,0
2004,Nov ,11,297,0
2004,Dec,12,5,0
2005,Jan ,1,0,0
2005,Feb,2,0,0
2005,Mar,3,9,0
2005,Apr,4,101,0
2005,May,5,32,0
2005,June,6,52,0
2005,July,7,84,0
2005,August,8,119,0
2005,Sep,9,207,0
2005,Oct,10,590,0
2005,Nov ,11,514,1
2005,Dec,12,501,1
2006,Jan ,1,0,0
2006,Feb,2,0,0
2006,Mar,3,28,0
2006,Apr,4,31,0
2006,May,5,22,0
2006,June,6,139,0
2006,July,7,55,0
2006,August,8,113,0
2006,Sep,9,172,0
2006,Oct,10,420,0
2006,Nov ,11,224,0
2006,Dec,12,36,0
2007,Jan ,1,0,0
2007,Feb,2,6,0
2007,Mar,3,0,0
2007,Apr,4,12,0
2007,May,5,19,0
2007,June,6,68,0
2007,July,7,245,0
2007,August,8,271,0
2007,Sep,9,175,0
2007,Oct,10,265,0
2007,Nov ,11,118,0
2007,Dec,12,270,0
2008,Jan ,1,85,0
2008,Feb,2,6,0
2008,Mar,3,189,0
2008,Apr,4,0,0
2008,May,5,28,0
2008,June,6,128,0
2008,July,7,89,0
2008,August,8,136,0
2008,Sep,9,121,0
2008,Oct,10,327,0
2008,Nov ,11,530,0
2008,Dec,12,16,0
2009,Jan ,1,8,0
2009,Feb,2,0,0
2009,Mar,3,1,0
2009,Apr,4,0,0
2009,May,5,27,0
2009,June,6,33,0
2009,July,7,48,0
2009,August,8,146,0
2009,Sep,9,139,0
2009,Oct,10,86,0
2009,Nov ,11,450,0
2009,Dec,12,181,0
2010,Jan ,1,2,0
2010,Feb,2,0,0
2010,Mar,3,0,0
2010,Apr,4,0,0
2010,May,5,160,0
2010,June,6,106,0
2010,July,7,269,0
2010,August,8,296,0
2010,Sep,9,160,0
2010,Oct,10,147,1
2010,Nov ,11,180,0
2010,Dec,12,242,1
2011,Jan ,1,2,0
2011,Feb,2,58,0
2011,Mar,3,0,0
2011,Apr,4,35,0
2011,May,5,24,0
2011,June,6,60,0
2011,July,7,85,0
2011,August,8,249,0
2011,Sep,9,147,0
2011,Oct,10,167,0
2011,Nov ,11,394,0
2011,Dec,12,96,1
2012,Jan ,1,10.2,0
2012,Feb,2,0,0
2012,Mar,3,0.2,0
2012,Apr,4,3.5,0
2012,May,5,11.1,0
2012,June,6,31.8,0
2012,July,7,119.6,0
2012,August,8,60.9,0
2012,Sep,9,146.3,0
2012,Oct,10,320.3,0
2012,Nov ,11,103.9,0
2012,Dec,12,174,0
2013,Jan ,1,0,0
2013,Feb,2,44.2,0
2013,Mar,3,22.7,0
2013,Apr,4,3.5,0
2013,May,5,1.4,0
2013,June,6,71.7,0
2013,July,7,145.9,0
2013,August,8,170.7,0
2013,Sep,9,241.8,0
2013,Oct,10,215.7,0
2013,Nov ,11,119.8,0
2013,Dec,12,27.6,0
2014,Jan ,1,0,0
2014,Feb,2,0.1,0
2014,Mar,3,0,0
2014,Apr,4,0,0
2014,May,5,17.5,0
2014,June,6,85.2,0
2014,July,7,101.3,0
2014,August,8,121.9,0
2014,Sep,9,136.1,0
2014,Oct,10,245,0
2014,Nov ,11,191.5,0
2014,Dec,12,127.3,0
2015,Jan ,1,1.4,0
2015,Feb,2,0,0
2015,Mar,3,0.5,0
2015,Apr,4,54.4,0
2015,May,5,24.5,0
2015,June,6,57,0
2015,July,7,163.2,0
2015,August,8,172.7,0
2015,Sep,9,88.3,0
2015,Oct,10,178.2,1
2015,Nov ,11,995.6,0
2015,Dec,12,419.3,1
2016,Jan ,1,0.3,0
2016,Feb,2,0,0
2016,Mar,3,0,0
2016,Apr,4,0,0
2016,May,5,186.8,0
2016,June,6,133.9,0
2016,July,7,36,0
2016,August,8,14.4,0
2016,Sep,9,249.2,0
2016,Oct,10,7,0
2016,Nov ,11,34.9,0
2016,Dec,12,210.9,1
2017,Jan ,1,3.9,0
2017,Feb,2,0,0
2017,Mar,3,0,0
2017,Apr,4,0,0
2017,May,5,32,0
2017,June,6,81.3,0
2017,July,7,84.8,0
2017,August,8,266.7,0
2017,Sep,9,109.3,0
2017,Oct,10,330.3,0
2017,Nov ,11,417.7,0
2017,Dec,12,62,0
2018,Jan ,1,0,0
2018,Feb,2,0.8,0
2018,Mar,3,5.3,0
2018,Apr,4,0,0
2018,May,5,1.3,0
2018,June,6,35,0
2018,July,7,63.3,0
2018,August,8,165.7,0
2018,Sep,9,134,0
2018,Oct,10,134.7,0
2018,Nov ,11,248.7,0
2018,Dec,12,91.3,1
2019,Jan ,1,0,0
2019,Feb,2,1.3,0
2019,Mar,3,0,0
2019,Apr,4,3.3,0
2019,May,5,9,0
2019,June,6,16.7,0
2019,July,7,107,0
2019,August,8,177.7,0
2019,Sep,9,327,0
2019,Oct,10,367.7,0
2019,Nov ,11,84.7,0
2019,Dec,12,191,0
